,nw8,nw8b,nw12,ceh3,ceh7,ceh8,ceh12,ceh15,ceh22,ceh35,ceh37,ceh38,L1,FE1,FE2,FE3,FE4,LIS1,p2,pw,pe,pdfs,p1
2005-03-01,,,,,,,,,,,,,,,,,,,,,,,
2005-04-01,,,,,,,,,,,,,,,,,,,,,,,
2005-05-01,,,,,,,,,,,,,,,,,,,,,,,
2005-07-01,,,,,,,,,,,,,,,,,,,,,,,
2005-08-01,,,,,,,,,,,,,,,,,,,,,,,
2005-09-01,,,,,,,,,,,,,,,,,,,,,,,
2005-10-01,,,,,,,,,,,,,,,,,,,,,,,
2005-11-01,,,,,,,,,,,,,,,,,,,,,,,
2005-12-01,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,-0.735,,,,,,,,,,,,,,,,,,,,,,
2006-02-01,-0.7033333333333333,,,,,,,,,,,,,,,,,,,,,,
2006-03-01,-0.5775,,,,,,,,,,,,,,,,,,,,,,
2006-04-01,-0.744,,,,,,,,,,,,,,,,,,,,,,
2006-05-01,-0.6975,,,-0.42,-0.06999999999999999,-0.2866666666666667,-0.9,,,,,,,,,,,,,,,,
2006-06-01,-0.915,,,-0.5900000000000001,-0.4,-0.435,-1.205,,,,,,,,,,,,,,,,
2006-07-01,-1.1099999999999999,,,-0.69,-0.7050000000000001,-0.685,-1.44,,,,,,,,,,,,,,,,
2006-08-01,-1.135,,,-0.67,-0.605,-0.61,-1.46,,,,,,,,,,,,,,,,
2006-09-01,-1.28,,,-0.63,-0.83,-0.84,-1.55,,,,,,,,,,,,,,,,
2006-10-01,-1.12,,,-0.46,-0.53,-0.71,-1.37,,,,,,,,,,,,,,,,
2006-11-01,-0.92,,,-0.31,-0.23,-0.47,-1.16,,,,,,,,,,,,,,,,
2006-12-01,-0.59,,,-0.18,-0.01,-0.28,-0.87,,,,,,,,,,,,,,,,
2007-01-01,-0.34,,,-0.09,0.019999999999999997,-0.26,-0.7,,,,,,,,,,,,,,,,
2007-02-01,-0.5,,,-0.11,0.05,-0.25,-0.93,,,,,,,,,,,,,,,,
2007-03-01,-0.65,,,-0.36,-0.15,-0.29,-1.07,,,,,,,,,,,,,,,,
2007-04-01,-0.81,,,-0.49,-0.33,-0.42,-1.22,,,,,,,,,,,,,,,,
2007-05-01,-0.97,,-0.67,-0.55,-0.51,-0.52,-1.37,,,,,,,,,,,,,,,,
2007-06-01,-0.97,,-0.84,-0.56,-0.52,-0.51,-1.51,,,,,,,,,,,,,,,,
2007-07-01,-1.06,,-0.96,-0.55,-0.54,-0.7,-1.5,,,,,,,,,,,,,,,,
2007-08-01,-1.18,,-1.13,-0.58,-0.68,-0.78,-1.45,-0.852,,,,,,,,,,,,,,,
2007-09-01,-1.1,,-1.22,-0.45,-0.58,-0.73,-1.27,-0.802,,,,,,,,,,,,,,,
2007-10-01,-1.32,,-1.38,-0.62,-0.73,-0.83,-1.41,-0.912,,,,,,,,,,,,,,,
2007-11-01,-1.21,,-1.26,-0.53,-0.58,-0.58,-1.31,-0.852,,,,,,,,,,,,,,,
2007-12-01,-1.05,,-1.26,-0.41,-0.37,-0.57,-1.08,-0.752,,,,,,,,,,,,,,,
2008-01-01,-0.71,,-0.81,-0.36,-0.05,-0.28,-0.7,-0.222,,,,,,,,,,,,,,,
2008-02-01,-0.87,,-0.69,-0.43,-0.14,-0.3,-0.93,-0.282,,,,,,,,,,,,,,,
2008-03-01,-0.85,,-0.56,-0.58,-0.09,-0.31,-0.99,-0.452,,,,,,,,,,,,,,,
2008-04-01,-0.96,,-0.55,-0.66,-0.23,-0.37,-0.9881520119225037,-0.592,,,,,,,,,,,,,,,
2008-05-01,-1.09,,-0.75,-0.77,-0.51,-0.59,,-0.752,,,,,,,,,,,,,,,
2008-06-01,-1.12,,-0.79,-0.71,-0.47,-0.6,,-0.552,,,,,,,,,,,,,,,
2008-07-01,-1.32,,-1.02,-0.77,-0.75,-0.72,,-0.882,,,,,,,,,,,,,,,
2008-08-01,-1.31,,-1.14,-0.73,-0.64,-0.81,,-0.962,,,,,,,,,,,,,,,
2008-09-01,-1.37,,-1.28,-0.74,-0.73,-0.76,,-1.002,,,,,,,,,,,,,,,
2008-10-01,-0.85,,-0.88,-0.46,0.03,-0.31,,-0.592,,,,,,,,,,,,,,,
2008-11-01,-0.76,,-0.68,-0.56,0.01,-0.27,,-0.292,,,,,,,,,,,,,,,
2008-12-01,-0.69,,-0.31,-0.49,0.01,-0.21,,-0.192,,,,,,,,,,,,,,,
2009-01-01,-0.59,,-0.09,-0.51,-0.06500000000000002,-0.25,,-0.072,,,,,,,,,,,,,,,
2009-02-01,-0.8,,-0.16,-0.65,-0.14,-0.27,,-0.222,,,,,,,,,,,,,,,
2009-03-01,-0.94,,-0.31,-0.71,-0.26,-0.33,,-0.491,,,,,,,,,,,,,,,
2009-04-01,-1.07,,-0.47,-0.78,-0.28,-0.28,,-0.591,,,,,-0.96,,,,,,,,,,
2009-05-01,-1.19,,-0.64,-0.87,-0.52,-0.61,,-0.671,,,,,-1.11,,,,,,,,,,
2009-06-01,-1.34,,-0.87,-0.89,-0.73,-0.79,,-0.951,,,,,-1.32,,,,,,,,,,
2009-07-01,-1.45,,-1.07,-0.89,-0.83,-0.86,,-1.001,,,,,-1.42,,,,,,,,,,
2009-08-01,-1.57,,-1.27,-0.92,-0.75,-0.84,,-1.031,,,,,-1.47,,,,,,,,,,
2009-09-01,-1.55,,-1.44,-1.02,-0.92,-1.0,,-1.151,,,,,-1.52,,,,,,,,,,
2009-10-01,-1.64,,-1.63,-1.0,-0.5609836065573771,-1.06,,-1.221,,,,,-1.62,,,,,,,,,,
2009-11-01,-1.08,,-1.38,-0.7,-0.19,-0.46,,-0.861,,,,,-0.85,,,,,,,,,,
2009-12-01,-1.1,,-1.26,-0.71,-0.17,-0.28,,-0.771,,,,,-0.81,,,,,,,,,,
2010-01-01,-1.09,,-1.21,-0.74,-0.01,-0.28,-0.95,-0.761,,,,,-0.65,,,,,,,,,,
2010-02-01,-1.2,,-1.14,-0.74,-0.25,-0.35,-1.09,-0.871,,,,,-0.84,,,,,,,,,,
2010-03-01,-1.23,,-1.15,-0.8,-0.01,-0.3,-0.95,-0.781,-0.07,,,,-0.67,,,,,,,,,,
2010-04-01,-1.27,,-1.08,-0.84,-0.42,-0.54,-1.18,-0.971,-0.31,,,,-0.99,,,,,,,,,,
2010-05-01,-1.43,,-1.26,-0.98,-0.59,-0.59,-1.37,-1.081,-0.41,,,,-1.19,,,,,,,,,,
2010-06-01,-1.56,,-1.4,-1.09,-0.75,-0.78,-1.51,-1.191,-0.5,,,,-1.35,,,,,,,,,,
2010-07-01,-1.39,,-1.43,-0.98,-0.57,-0.7,-1.25,-1.151,-0.41,,,,-1.23,,,,,,,,,,
2010-08-01,-1.64,,-1.59,-1.07,-0.87,-0.91,-1.49,-1.291,-0.56,,,,-1.47,,,,,,,,,,
2010-09-01,-1.72,,-1.72,-1.06,-0.89,-0.91,-1.52,-1.341,-0.55,,,,-1.48,,,,,,,,,,
2010-10-01,-1.7,,-1.73,-0.96,-0.72,-0.81,-1.35,-1.351,-0.45,,,,-1.36,,,,,,,,,,
2010-11-01,-1.45,,-1.6996739130434781,-0.98,-0.51,-0.63,-1.22,-1.251,-0.48,,,,-1.12,,,,,,,,,,
2010-12-01,-1.53,,,-0.99,-0.43,-0.61,-1.22,-1.281,-0.44,,,,-1.03,,,,,,,,,,
2011-01-01,-1.4,,-1.64,-1.01,-0.42,-0.58,,-1.181,-0.47,-0.59,-0.42,-0.5,-0.97,,,,,,,,,,
2011-02-01,-1.37,,-1.51,-0.94,-0.3,-0.45,,-1.121,-0.4,-0.5,-0.29,-0.45,-0.87,,,,,,,,,,
2011-03-01,-1.53,,-1.43,-1.01,-0.5,-0.59,,-1.221,-0.51,-0.62,-0.52,-0.58,-1.0,,,,,,,,,,
2011-04-01,-1.64,,-1.52,-1.13,-0.66,-0.76,,-1.341,-0.62,-0.76,-0.73,-0.71,-1.22,,,,,,,,,,
2011-05-01,-1.73,,-1.67,-1.18,-0.84,-0.89,,-1.441,-0.66,-0.82,-0.87,-0.79,-1.41,,,,,,,,,,
2011-06-01,-1.73,,-1.74,-1.21,-0.93,-1.03,,-1.501,-0.73,-0.88,-1.0,-0.86,-1.6,,,,,,,,,,
2011-07-01,-1.7319607843137255,,-1.74,-1.22,-0.93,-1.18,,-1.621,-0.8,-0.96,-1.14,-0.95,-1.77,,,,,,,,,,
2011-08-01,,,,-1.16,-0.93,-1.25,,-1.721,-0.78,-1.0,-1.2,-0.98,-1.77,,,,,,,,,,
2011-09-01,,,,-1.093934426229508,-0.8571290944123314,-1.1792391304347827,,-1.7408196721311475,-0.6936065573770491,-0.9237704918032786,-1.078695652173913,-0.9159782608695652,,,,,,,,,,,
2011-10-01,,,,-1.03,,,,-1.76,-0.61,,,,,,,,,,,,,,
2011-11-01,-1.74,,,-0.96,,-1.04,,-1.83,-0.58,,-0.84,-0.79,,,,,,,,,,,
2011-12-01,-1.75,,,-1.05,,-0.88,,-1.64,-0.51,-0.7,-0.59,-0.67,,,,,,,,,,,
2012-01-01,-1.73,,,-1.18,,-0.81,,-1.67,-0.65,-0.74,-0.63,-0.71,,,,,,,,,,,
2012-02-01,-1.75,,,-1.27,,-0.8565,,-1.69,-0.59,-0.85,-0.65,-0.81,,,,,,,,,,,
2012-03-01,-1.75,,,-1.34,,-0.9,,-1.78,-0.77,-0.93,-0.82,-0.91,,,,,,,,,,,
